ле0000008069                            5054563126368000010010,5702023  0
ле0000008069                            5202888228308000010016,3302023  0
ле0000008069                            4013474116135000010005,2302023  0
ле0000008069                            5019781015153000010024,5002023  0
ле0000008069                            3577056022036000010003,9102023  0
ле0000008069                            847000165853 000010018,2502023  0
ле0000008069                            4054596535503000010008,5902023  0
ле0000008069                            0003398401950000010014,6102023  0
ле0000008069                            5203622100287000010007,5002023  0
ле0000008069               093361003    2800933610035000010002,6002023  0
ле0000008069                            3282770208177000010025,1402023  0
ле0000008069               030410105    2800304101056000010004,9802023  0
ле0000008069                            5200388107604000010003,8002023  0
ле0000008069                            5391520947612000010004,3302023  0
ле0000008069                            3337875777797000010010,8102023  0
ле0000008069                            7070866008659000010009,8402023  0
