ле0000000011                            5200000011159000010004,1202025  0
ле0000000011                            4013474116463000010005,8902025  0
ле0000000011                            5205152014713000010004,8502025  0
ле0000000011                            8032956140044000010002,1002025  0
ле0000000011                            5054563158611000010011,8202025  0
ле0000000011                            3337875784054000010008,5002025  0
ле0000000011                            3337875597227000010010,8102025  0
ле0000000011                            3337875597388000010014,6102025  0
ле0000000011                            8700216528634000010010,7602025  0
ле0000000011                            7611841701464000010006,2702025  0
ле0000000011                            4021354036015000010008,7002025  0
ле0000000011                            4013474117248000010008,9402025  0
ле0000000011                            4013474117132000010008,9502025  0
ле0000000011                            5205152002086000010011,3502025  0
ле0000000011                            8429420231504000010017,8602025  0
ле0000000011                            7028156630219000010013,1902025  0
