ле0000007585                            5201279049669000010007,4802022  0
ле0000007585                            3282770100259000010010,2002022  0
ле0000007585               250700101    2802507001010000010002,9402022  0
ле0000007585                            3337875597227000010008,4702022  0
ле0000007585                            3830070472325000010007,5902022  0
ле0000007585               023280101    2800232801011000010001,4002022  0
ле0000007585               023280802    2800232808027000010002,1002022  0
ле0000007585                            5202888230073000010004,7502022  0
ле0000007585                            8718951047181000010004,7202022  0
ле0000007585                            5200321010350000010010,6902022  0
ле0000007585                            5200321012361000010010,6902022  0
ле0000007585                            5200309852118000010012,5202022  0
ле0000007585                            003398401051 000010024,4602022  0
ле0000007585                            033984041141 000010020,5802022  0
