ле0000009097                            5055148414207000010011,8002024  0
ле0000009097                            5055148413248000010007,1102024  0
ле0000009097                            5206355002958000010004,5002024  0
ле0000009097                            5206355000954000010004,1002024  0
ле0000009097                            3282770037166000010009,3502024  0
ле0000009097                            5200309851012000010006,5602024  0
ле0000009097                            5205152001942000010006,8002024  0
ле0000009097                            5206938000272000010006,3702024  0
ле0000009097                            3564300000667000010007,4602024  0
ле0000009097                            8006540795842000010009,5602024  0
