ле0000008163                            5201279067656000010009,9002023  0
ле0000008163                            3337875597296000010005,8402023  0
ле0000008163                            882381004651 000010028,6302023  0
ле0000008163                            5054563050427000010003,3102023  0
ле0000008163                            5201279049324000010009,4502023  0
ле0000008163                            5201279049607000010007,0402023  0
ле0000008163               185410201    2801854102012000010001,4002023  0
ле0000008163                            5200309851340000010009,1402023  0
ле0000008163                            5011321914759000010010,1502023  0
ле0000008163                            3577056004780000010004,1502023  0
ле0000008163                            3577056010439000010004,1502023  0
ле0000008163                            3577057054425000010004,1502023  0
ле0000008163               134320101    2801343201011000010001,3402023  0
ле0000008163                            5202888331015000010008,4002023  0
ле0000008163                            5202888106194000010013,4202023  0
ле0000008163                            5202888227165000010011,4002023  0
ле0000008163                            5204799030162000010011,0502023  0
ле0000008163                            5213000524222000010009,9002023  0
ле0000008163                            5205152003410000010004,3002023  0
ле0000008163                            5205152005933000010002,3202023  0
ле0000008163               206820305    2802068203052000010003,9602023  0
ле0000008163                            5202888221484000010013,1202023  0
ле0000008163                            5205122002320000010006,9502023  0
ле0000008163                            140307153822 000010006,5202023  0
ле0000008163                            3662042002458000010012,0002023  0
ле0000008163                            3337875695176000010015,0002023  0
ле0000008163                            8006540795842000010009,5602023  0
