ле0000000198               033250501    2800332505017000040001.6002025  0
ле0000000198               017940101    2800179401015000020002.7202025  0
ле0000000198               196220501    2801962205018000020004.9902025  0
ле0000000198               023540901    2800235409016000030003.3802025  0
ле0000000198               023160103    2800231601032000030003.8202025  0
ле0000000198               185090302    2801850903026000010007.8002025  0
ле0000000198               044950310    2800449503104000030001.6802025  0
ле0000000198               304380102    2803043801027000010007.7602025  0
ле0000000198               238870202    2802388702020000020005.7802025  0
ле0000000198               189690101    2801896901017000020005.0002025  0
ле0000000198               207501001    2802075010018000040003.5802025  0
ле0000000198               197890202    2801978902024000010004.3102025  0
ле0000000198                            4032651975884000010007.3502025  0
ле0000000198               245530301    2802455303013000010007.0702025  0
ле0000000198               097210705    2800972107053000010013.2202025  0
ле0000000198               252530111    2802525301116000020003.4902025  0
ле0000000198               203140601    2802031406015000020003.7102025  0
